Clause,label
"CO-BRANDING AND ADVERTISING AGREEMENT

THIS CO-BRANDING AND ADVERTISING AGREEMENT (the ""Agreement"") is made as of June 21, 1999 (the ""Effective Date"") by and between I-ESCROW, INC",Agency Agreement
EXHIBIT 4,Services Agreement
EXHIBIT 10,Joint Venture Agreement
Exhibit 10,Distributor Agreement
"REDACTED COPY

CONFIDENTIAL TREATMENT REQUESTED

CONFIDENTIAL PORTIONS OF THIS

DOCUMENT HAVE BEEN REDACTED

AND HAVE BEEN SEPARATELY

FILED WITH THE COMMISSION

  1





ENDORSEMENT AGREEMENT

This Agreement is entered into on January 13, 2005 between professional golfer, TOM WATSON, (hereinafter referred to as ""CONSULTANT"") and ADAMS GOLF, LTD",Endorsement Agreement
Exhibit 10,Strategic Alliance Agreement
"Exhibit 10d-2

                               RESELLER AGREEMENT

                                 BY AND BETWEEN

                                PIVX CORPORATION

                                       AND

                               DETTO TECHNOLOGIES

This Reseller Agreement is entered as of this ___ day of _________, 2004 (""Effective Date"") by and between PivX Corporation, a California corporation, having its principal place of business at 23 Corporate Plaza Drive, Newport Beach, California, 92661 (""PivX"") and Detto Technologies, a Washington corporation, having its principal place of business at 14320 NE 21st Street, Suite 11, Bellevue, Washington, 98007 (""Detto"")",Reseller Agreement
"Confidential treatment has been requested with respect to portions of this agreement as indicated by ""[***]"" and such confidential portions have been deleted and filed separately with the Securities and Exchange Commission pursuant to Rule 24b-2 of the Securities Exchange Act of 1934, as amended",Amendment  To Manufacturing Agreement
Exhibit 10,Consulting Agreement
Exhibit 10,Consulting Agreement
Exhibit 1,Agency Agreement
ODM - SUPPLY AGREEMENT BETWEEN: ORGANIC PREPARATIONS INC,Supply Agreement
Exhibit 10,Development Agreement
Exhibit 10,Distributor Agreement
"[LOGO]

                                    EXHIBIT C

                                    AIRSOPURE                                FRANCHISE AGREEMENT

THIS AGREEMENT is entered into on this ____ day of ___________, 2000, by and between Airsopure International Group, Inc",Franchise Agreement
"ALAMOGORDO FINANCIAL CORPORATION                                 1,101,643 Shares

                                  COMMON STOCK                            (Par Value $",Agency Agreement
Exhibit 10,Agency Agreement
Exhibit 1,Agency Agreement
Exhibit 10,Content License Agreement
Exhibit 10,Sponsorship Agreement
Exhibit 99,Cooperation Agreement
Exhibit 10,Endorsement Agreement
EXHIBIT 10,Agency Agreement
EXHIBIT 10,Site Development And Hosting Agreement
Exhibit 10,Collaboration Agreement
Exhibit 10,Manufacturing Agreement
Exhibit 10,Manufacturing And Supply Agreement
Exhibit 99(k)(5) FORM OF BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT BETWEEN ARCA U,Development Agreement
Exhibit 10,Sponsorship Agreement
Exhibit 2,Trademark License Agreement
Exhibit 10,Intellectual Property Agreement
Exhibit 10,Intellectual Property Agreement
"[ * ] = Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 24b-2 of the Securities Exchange Act of 1934, as amended",License Development And Commercialization Agreement
Exhibit 10,License Agreement
"EXHIBIT 10(d)

PROMOTION AGREEMENT                        ASHWORTH, INC",Promotion Agreement And Nantz Communications Inc
Exhibit 10,Reseller Agreement
Exhibit 10,Outsourcing Agreement
Exhibit 99,Joint Filing Agreement
Exhibit 1,Agency Agreement
EXHIBIT 10,Transportation Service Agreement
Exhibit 10,Maintenance Agreement
EXHIBIT 10,Investment Distribution Agreement
Exhibit 8,Servicing Agreement
"STRATEGIC ALLIANCE AGREEMENT    This STRATEGIC ALLIANCE AGREEMENT (the ""Agreement"") is entered into as of March 18, 2010 (the ""Effective Date""), between AURA  SYSTEMS INC",Strategic Alliance Agreement
"Execution version

Exhibit 10",Maintenance Agreement
"Execution version



  Amendment n° 01   to the Global Maintenance Agreement ref",Maintenance Agreement
"03/01/05

607-1295 Richards Street   604",Premium Managed Hosting Agreement
"QuickLinks -- Click here to rapidly navigate through this document

Exhibit 10",Agency Agreement
Exhibit 10,Supply Agreement
EXHIBIT 10,Master Supply Agreement
Exhibit 10,Manufacturing Agreement
AMENDMENT NO,Manufacturing Agreement
AMENDMENT NO,Manufacturing Agreement
AMENDMENT NO,Manufacturing Agreement
Exhibit 10,Collaboration Agreement
Exhibit 10,Endorsement Agreement
1                                                                     Exhibit 10,Hosting Agreement
Exhibit 10,Service Agreement
Exhibit 10,Development Agreement
"AMENDMENT 1 TO DEVELOPMENT AGREEMENT

This is the First Amendment (""First Amendment"") to the Development Agreement (""Development Agreement"") entered into on April 15, 2010, by  and between Cargill, Incorporated through its Bio Technology Development Center, having its principal place of business at 15407 McGinty Road  West, Wayzata, Minnesota 55391 USA (""Cargill"") and BioAmber S",First Amendment
